A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
30 	NE     	10	20 	0.0000	0+         	23280.120   	253.250 	7.3 MS 3         	0.0073                       	        	       	B-      	100          
30 	NE     	10	20 	0.0000	0+         	23280.120   	253.250 	7.3 MS 3         	0.0073                       	        	       	B-N     	13           
30 	NE     	10	20 	0.0000	0+         	23280.120   	253.250 	7.3 MS 3         	0.0073                       	        	       	B2N     	8.9          
31 	NE     	10	21 	0.0000	(3/2-)     	31181.594   	266.195 	3.4 MS 8         	0.0034                       	        	       	B-      	100          
31 	NE     	10	21 	0.0000	(3/2-)     	31181.594   	266.195 	3.4 MS 8         	0.0034                       	        	       	B2N     	             
31 	NE     	10	21 	0.0000	(3/2-)     	31181.594   	266.195 	3.4 MS 8         	0.0034                       	        	       	B3N     	             
32 	NE     	10	22 	0.0000	0+         	36999       	503     	3.5 MS 9         	0.0035                       	        	       	B-      	100          
32 	NE     	10	22 	0.0000	0+         	36999       	503     	3.5 MS 9         	0.0035                       	        	       	B-N     	             
33 	NE     	10	23 	0.0000	           	46130       	600     	180 NS           	0.00000018                   	        	       	N       	             
34 	NE     	10	24 	0.0000	0+         	52842       	513     	60 NS            	0.00000006                   	        	       	B-      	             
34 	NE     	10	24 	0.0000	0+         	52842       	513     	60 NS            	0.00000006                   	        	       	B-N     	             
34 	NE     	10	24 	0.0000	0+         	52842       	513     	60 NS            	0.00000006                   	        	       	B2N     	             
17 	NA     	11	6  	0.0000	(1/2+)     	34719.580   	59.616  	                 	                             	        	       	        	             
18 	NA     	11	7  	0.0000	(1)-       	25037.992   	93.881  	0.2 MEV          	2.2811885753569284e-21       	        	       	P       	100          
19 	NA     	11	8  	0.0000	(5/2+)     	12929.384   	10.535  	40 KEV           	1.1405942876784644e-20       	        	       	P       	100          
20 	NA     	11	9  	0.0000	2+         	6850.489    	1.109   	447.9 MS 23      	0.4479                       	        	       	EC      	100          
20 	NA     	11	9  	0.0000	2+         	6850.489    	1.109   	447.9 MS 23      	0.4479                       	        	       	EA      	20.05        
